Title,Organization,Level,Ratings,Short Description,Skills,Completion Time,Instructor,Cost,Link
Google Data Analytics,Google,Beginner,4.8,"Summary:
This course provides an immersive understanding of the practices and processes used by junior or associate data analysts in their day-to-day job. It covers key analytical skills such as data cleaning, analysis, and visualization, as well as tools including spreadsheets, SQL, R programming, and Tableau. Students will learn how to clean and organize data for analysis, complete analysis using spreadsheets, SQL, and R programming, and visualize and present data findings in various platforms."," Data Analysis, R Programming, SQL, Business Communication, Spreadsheet Software, Business Analysis, Data Visualization, Data Management, General Statistics, Big Data, Communication, Computer Programming, Data Science, Data Visualization Software, Databases, Exploratory Data Analysis, Extract, Transform, Load, Leadership and Management, Microsoft Excel, Problem Solving, Small Data, Statistical Programming, Tableau Software",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/google-data-analytics
Google Cybersecurity,Google,Beginner,4.8,"Summary:
This course focuses on the importance of cybersecurity practices and their impact on organizations. Students will learn how to identify common risks, threats, and vulnerabilities, as well as techniques to mitigate them. Additionally, they will gain hands-on experience with Security Information and Event Management (SIEM) tools to protect networks, devices, people, and data from unauthorized access and cyberattacks. The course also covers practical experience with Python, Linux, and SQL."," Network Security, Python Programming, Linux, Cloud Computing, Algorithms, Audit, Computer Programming, Computer Security Incident Management, Cryptography, Databases, Leadership and Management, Network Architecture, Risk Management, SQL",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/google-cybersecurity
Google Project Management:,Google,Beginner,4.8,"Summary:
This course provides an immersive understanding of practices and skills necessary for success in an entry-level project management role. Participants will learn how to create effective project documentation and artifacts throughout different project phases. Additionally, they will gain knowledge of Agile project management, specifically focusing on implementing Scrum events, building Scrum artifacts, and understanding Scrum roles. The course also includes practice in strategic communication, problem-solving, and stakeholder management using real-world scenarios."," Project Management, Strategy and Operations, Leadership and Management, Communication, Business Communication, Collaboration, Agile Software Development, Software Engineering, Entrepreneurship, Scrum (Software Development), Planning, Supply Chain and Logistics, Change Management, Finance, Organizational Development, Product Management, Risk Management, Budget Management, Influencing, Culture, Emotional Intelligence, People Management, Problem Solving, Procurement",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/google-project-management
IBM Data Science,IBM,Beginner,4.6,"Summary:
This course covers the most up-to-date practical skills and knowledge used by data scientists in their daily roles. Students will learn tools, languages, and libraries such as Python and SQL. They will also learn how to import and clean data sets, analyze and visualize data, and build machine learning models and pipelines. The course emphasizes applying these skills to real-world projects in order to build a portfolio of data projects that demonstrate proficiency to potential employers."," Python Programming, Data Science, Machine Learning, Data Analysis, Algorithms, Data Management, Data Visualization, Database Design, Human Learning, R Programming, Computer Programming, Database Application, Databases, Deep Learning, Exploratory Data Analysis, Machine Learning Algorithms, Plot (Graphics), Professional Development, SQL, Data Model, Statistical Machine Learning, General Statistics, Probability & Statistics, Regression, Reinforcement Learning, Big Data, Cloud Computing, Data Mining, IBM Cloud, Writing",3 - 6 Months,Dr. Pooja,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/ibm-data-science
Google Digital Marketing & E-commerce,Google,Beginner,4.8,"Summary:
This course covers the fundamentals of digital marketing and e-commerce, teaching skills necessary to secure an entry-level job. Students will learn how to attract and engage customers using digital marketing channels such as search and email. Additionally, they will gain knowledge on measuring marketing performance through analytics and presenting insights. The course also includes building e-commerce stores, analyzing online performance, and fostering customer loyalty."," Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Sales, E-Commerce, Data Analysis, Social Media, Search Engine Optimization, Advertising, Communication, Persona Research, Strategy, Web Design, Web Development, Web Development Tools, Writing, Data Management, Market Analysis",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
IBM Data Analyst,IBM,Beginner,4.6,"Summary:
This course focuses on mastering practical skills and tools used by data analysts on a daily basis. Students will learn to visualize data and present findings using various charts in Excel spreadsheets and BI tools like IBM Cognos Analytics & Tableau. Additionally, they will develop a working knowledge of Python for data analysis using libraries like Pandas and Numpy, as well as learn to invoke APIs and Web Services. The course also provides hands-on experience through labs and projects to build a portfolio showcasing their work."," Python Programming, Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Data Management, Data Structures, Databases, Exploratory Data Analysis, SQL, Plot (Graphics), Business Analysis, Database Design, Computer Programming, Database Application, Professional Development, Statistical Visualization, Big Data, Data Mining, Data Science, General Statistics, NoSQL, Cloud Computing, Data Visualization Software, IBM Cloud, Interactive Data Visualization, Machine Learning, Machine Learning Algorithms, Probability & Statistics, Regression",3 - 6 Months,Dr. Pooja,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/ibm-data-analyst
Google UX Design,Google,Beginner,4.8,"Summary:
This course focuses on following the design process, understanding UX research basics, applying foundational UX concepts, and creating a professional UX portfolio with 3 end-to-end projects. Students will learn to empathize with users, define pain points, ideate solutions, create wireframes and prototypes, test and iterate on designs, plan research studies, conduct interviews and usability studies, synthesize research results, and incorporate user-centered design, accessibility, and equity-focused design principles."," User Experience, User Experience Design, User Research, Audit, Human Computer Interaction, Planning, Product Design, Product Development, Visual Design, Web Design, Web Development Tools",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/google-ux-design
Google IT Support,Google,Beginner,4.8,"Summary:
This course will help students gain the skills necessary to succeed in an entry-level IT job. Participants will learn day-to-day IT support tasks such as computer assembly, wireless networking, program installation, and customer service. Additionally, they will learn how to provide end-to-end customer support, including identifying problems and troubleshooting. The course will also cover the use of systems like Linux, Domain Name Systems, Command-Line Interface, and Binary Code."," Computer Networking, Network Architecture, Network Model, Networking Hardware, Network Analysis, Computer Architecture, Critical Thinking, Problem Solving, Communication, Human Computer Interaction, Network Security, Linux, System Security, Cloud Computing, Computer Programming, Customer Support, Cryptography, Leadership and Management, Operating Systems",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/google-it-support
Machine Learning,Multiple educators,Beginner,4.9,"Summary:
This course covers building machine learning models using NumPy, scikit-learn, and TensorFlow. Students will learn to build and train supervised models for prediction and binary classification tasks such as linear and logistic regression. They will also learn to build and train neural networks for multi-class classification, use decision trees and tree ensemble methods, apply best practices for ML development, and use unsupervised learning techniques including clustering and anomaly detection. Additionally, students will learn to build recommender systems using collaborative filtering, content-based deep learning methods, and deep reinforcement learning models."," Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Deep Learning, Machine Learning Software, Artificial Neural Networks, Human Learning, Statistical Machine Learning, Python Programming, Regression, Mathematics, Tensorflow, Critical Thinking, Network Model, Network Architecture, Reinforcement Learning",3 - 6 Months,Andrew Ng,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/machine-learning-introduction
IBM Applied AI,IBM,Beginner,4.6,"Summary:
This course covers the definition of AI, its applications, and use cases, along with explanations of terms such as machine learning, deep learning, and neural networks. Participants will learn how to create AI chatbots and virtual assistants without programming, deploy them on a website, and build AI-powered solutions using IBM Watson AI services, APIs, and Python with minimal coding. They will also learn how to apply computer vision techniques using Python, OpenCV, and Watson to develop custom image classification models and deploy them to the Cloud."," Machine Learning, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Computer Vision, Python Programming, Cloud Computing, Human Learning, IBM Cloud, Natural Language Processing, Algorithms, Applied Machine Learning, Machine Learning Software, Computer Programming, Application Development, Cloud API, Cloud Applications, Computer Programming Tools, Human Computer Interaction, Software Engineering Tools, Visualization (Computer Graphics), Software Engineering, Critical Thinking, Communication, Software As A Service, Data Analysis, Programming Principles, User Experience Design, Software Architecture, Agile Software Development, Systems Design, Web Development, Software Testing, Javascript, Data Science",3 - 6 Months,Abhishek Gagneja,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai
