Title,Link,Organization,Instructor,Skills,Ratings,Review counts,Cost,Enrolled,Level,Cerification,Completion Time,,Decription
Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics,Google,Google Career Certificates," Data Analysis, R Programming, SQL, Business Communication, Spreadsheet Software, Business Analysis, Data Visualization, Data Management, General Statistics, Big Data, Communication, Computer Programming, Data Science, Data Visualization Software, Databases, Exploratory Data Analysis, Extract, Transform, Load, Leadership and Management, Microsoft Excel, Problem Solving, Small Data, Statistical Programming, Tableau Software",4.8,133470,Free,2068512,Beginner,Professional Certificate,3 - 6 Months,,"Gain an immersive understanding of the practices and processes used by a junior or associate data analyst in their day-to-day job,Gain an immersive understanding of the practices and processes used by a junior or associate data analyst in their day-to-day job,Learn key analytical skills (data cleaning, analysis, & visualization) and tools (spreadsheets, SQL, R programming, Tableau) ,Learn key analytical skills (data cleaning, analysis, & visualization) and tools (spreadsheets, SQL, R programming, Tableau) ,Understand how to clean and organize data for analysis, and complete analysis and calculations using spreadsheets, SQL and R programming,Understand how to clean and organize data for analysis, and complete analysis and calculations using spreadsheets, SQL and R programming,Learn how to visualize and present data findings in dashboards, presentations and commonly used visualization platforms,Learn how to visualize and present data findings in dashboards, presentations and commonly used visualization platforms,"
Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity,Google,Google Career Certificates," Network Security, Python Programming, Linux, Cloud Computing, Algorithms, Audit, Computer Programming, Computer Security Incident Management, Cryptography, Databases, Leadership and Management, Network Architecture, Risk Management, SQL",4.8,21565,Free,481195,Beginner,Professional Certificate,3 - 6 Months,,"Understand the importance of cybersecurity practices and their impact for organizations.,Understand the importance of cybersecurity practices and their impact for organizations.,Identify common risks, threats, and vulnerabilities, as well as techniques to mitigate them.,Identify common risks, threats, and vulnerabilities, as well as techniques to mitigate them.,Protect networks, devices, people, and data from unauthorized access and cyberattacks using Security Information and Event Management (SIEM) tools.,Protect networks, devices, people, and data from unauthorized access and cyberattacks using Security Information and Event Management (SIEM) tools.,Gain hands-on experience with Python, Linux, and SQL.,Gain hands-on experience with Python, Linux, and SQL.,"
Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management,Google,Google Career Certificates," Project Management, Strategy and Operations, Leadership and Management, Communication, Business Communication, Collaboration, Agile Software Development, Software Engineering, Entrepreneurship, Scrum (Software Development), Planning, Supply Chain and Logistics, Change Management, Finance, Organizational Development, Product Management, Risk Management, Budget Management, Influencing, Culture, Emotional Intelligence, People Management, Problem Solving, Procurement",4.8,97832,Free,1491006,Beginner,Professional Certificate,3 - 6 Months,,"Gain an immersive understanding of the practices and skills needed to succeed in an entry-level project management role,Gain an immersive understanding of the practices and skills needed to succeed in an entry-level project management role,Learn how to create effective project documentation and artifacts throughout the various phases of a project,Learn how to create effective project documentation and artifacts throughout the various phases of a project,Learn the foundations of Agile project management, with a focus on implementing Scrum events, building Scrum artifacts, and understanding Scrum roles,Learn the foundations of Agile project management, with a focus on implementing Scrum events, building Scrum artifacts, and understanding Scrum roles,Practice strategic communication, problem-solving, and stakeholder management through real-world scenarios,Practice strategic communication, problem-solving, and stakeholder management through real-world scenarios,"
IBM Data Science,https://www.coursera.org/professional-certificates/ibm-data-science,IBM,Dr. Pooja," Python Programming, Data Science, Machine Learning, Data Analysis, Algorithms, Data Management, Data Visualization, Database Design, Human Learning, R Programming, Computer Programming, Database Application, Databases, Deep Learning, Exploratory Data Analysis, Machine Learning Algorithms, Plot (Graphics), Professional Development, SQL, Data Model, Statistical Machine Learning, General Statistics, Probability & Statistics, Regression, Reinforcement Learning, Big Data, Cloud Computing, Data Mining, IBM Cloud, Writing",4.6,69542,Free,291876,Beginner,Professional Certificate,3 - 6 Months,,"Master the most up-to-date practical skills and knowledge that data scientists use in their daily roles,Master the most up-to-date practical skills and knowledge that data scientists use in their daily roles,Learn the tools, languages, and libraries used by professional data scientists, including Python and SQL,Learn the tools, languages, and libraries used by professional data scientists, including Python and SQL,Import and clean data sets, analyze and visualize data, and build machine learning models and pipelines,Import and clean data sets, analyze and visualize data, and build machine learning models and pipelines,Apply your new skills to real-world projects and build a portfolio of data projects that showcase your proficiency to employers,Apply your new skills to real-world projects and build a portfolio of data projects that showcase your proficiency to employers,"
Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce,Google,Google Career Certificates," Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Sales, E-Commerce, Data Analysis, Social Media, Search Engine Optimization, Advertising, Communication, Persona Research, Strategy, Web Design, Web Development, Web Development Tools, Writing, Data Management, Market Analysis",4.8,22133,Free,597266,Beginner,Professional Certificate,3 - 6 Months,,"Learn the fundamentals of digital marketing and e-commerce to gain the skills needed to land an entry-level job,Learn the fundamentals of digital marketing and e-commerce to gain the skills needed to land an entry-level job,Attract and engage customers through digital marketing channels like search and email,Attract and engage customers through digital marketing channels like search and email,Measure marketing performance through analytics and present insights,Measure marketing performance through analytics and present insights,Build e-commerce stores, analyze online performance, and grow customer loyalty,Build e-commerce stores, analyze online performance, and grow customer loyalty,"
IBM Data Analyst,https://www.coursera.org/professional-certificates/ibm-data-analyst,IBM,Dr. Pooja," Python Programming, Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Data Management, Data Structures, Databases, Exploratory Data Analysis, SQL, Plot (Graphics), Business Analysis, Database Design, Computer Programming, Database Application, Professional Development, Statistical Visualization, Big Data, Data Mining, Data Science, General Statistics, NoSQL, Cloud Computing, Data Visualization Software, IBM Cloud, Interactive Data Visualization, Machine Learning, Machine Learning Algorithms, Probability & Statistics, Regression",4.6,17384,Free,212892,Beginner,Professional Certificate,3 - 6 Months,,"Master the most up-to-date practical skills and tools that data analysts use in their daily roles,Master the most up-to-date practical skills and tools that data analysts use in their daily roles,Learn how to visualize data and present findings using various charts in Excel spreadsheets and BI tools like IBM Cognos Analytics & Tableau,Learn how to visualize data and present findings using various charts in Excel spreadsheets and BI tools like IBM Cognos Analytics & Tableau,Develop working knowledge of Python language for analyzing data using Python libraries like Pandas and Numpy, and invoke APIs and Web Services ,Develop working knowledge of Python language for analyzing data using Python libraries like Pandas and Numpy, and invoke APIs and Web Services ,Gain technical experience through hands on labs and projects and build a portfolio to showcase your work,Gain technical experience through hands on labs and projects and build a portfolio to showcase your work,"
Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design,Google,Google Career Certificates," User Experience, User Experience Design, User Research, Audit, Human Computer Interaction, Planning, Product Design, Product Development, Visual Design, Web Design, Web Development Tools",4.8,73049,Free,968018,Beginner,Professional Certificate,3 - 6 Months,,"Follow the design process: empathize with users, define pain points, ideate solutions, create wireframes and prototypes, test and iterate on designs,Follow the design process: empathize with users, define pain points, ideate solutions, create wireframes and prototypes, test and iterate on designs,Understand the basics of UX research, like planning research studies, conducting interviews and usability studies, and synthesizing research results,Understand the basics of UX research, like planning research studies, conducting interviews and usability studies, and synthesizing research results,Apply foundational UX concepts, like user-centered design, accessibility, and equity-focused design,Apply foundational UX concepts, like user-centered design, accessibility, and equity-focused design,Create a professional UX portfolio that includes 3 end-to-end projects: a mobile app, a responsive website, and a cross-platform experience,Create a professional UX portfolio that includes 3 end-to-end projects: a mobile app, a responsive website, and a cross-platform experience,"
Google IT Support,https://www.coursera.org/professional-certificates/google-it-support,Google,Google Career Certificates," Computer Networking, Network Architecture, Network Model, Networking Hardware, Network Analysis, Computer Architecture, Critical Thinking, Problem Solving, Communication, Human Computer Interaction, Network Security, Linux, System Security, Cloud Computing, Computer Programming, Customer Support, Cryptography, Leadership and Management, Operating Systems",4.8,172223,Free,1467636,Beginner,Professional Certificate,3 - 6 Months,,"Gain skills required to succeed in an entry-level IT job,Gain skills required to succeed in an entry-level IT job,Learn to perform day-to-day IT support tasks including computer assembly, wireless networking, installing programs, and customer service,Learn to perform day-to-day IT support tasks including computer assembly, wireless networking, installing programs, and customer service,Learn how to provide end-to-end customer support, ranging from identifying problems to troubleshooting and debugging,Learn how to provide end-to-end customer support, ranging from identifying problems to troubleshooting and debugging,Learn to use systems including Linux, Domain Name Systems, Command-Line Interface, and Binary Code,Learn to use systems including Linux, Domain Name Systems, Command-Line Interface, and Binary Code,"
Machine Learning,https://www.coursera.org/specializations/machine-learning-introduction,Multiple educators,Andrew Ng," Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Deep Learning, Machine Learning Software, Artificial Neural Networks, Human Learning, Statistical Machine Learning, Python Programming, Regression, Mathematics, Tensorflow, Critical Thinking, Network Model, Network Architecture, Reinforcement Learning",4.9,21534,Free,393319,Beginner,Specialization,3 - 6 Months,,"Build ML models with NumPy & scikit-learn, build & train supervised models for prediction & binary classification tasks (linear, logistic regression),Build ML models with NumPy & scikit-learn, build & train supervised models for prediction & binary classification tasks (linear, logistic regression),Build & train a neural network with TensorFlow to perform multi-class classification, & build & use decision trees & tree ensemble methods,Build & train a neural network with TensorFlow to perform multi-class classification, & build & use decision trees & tree ensemble methods,Apply best practices for ML development & use unsupervised learning techniques for unsupervised learning including clustering & anomaly detection,Apply best practices for ML development & use unsupervised learning techniques for unsupervised learning including clustering & anomaly detection,Build recommender systems with a collaborative filtering approach & a content-based deep learning method & build a deep reinforcement learning model,Build recommender systems with a collaborative filtering approach & a content-based deep learning method & build a deep reinforcement learning model,"
IBM Applied AI,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,IBM,Abhishek Gagneja," Machine Learning, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Computer Vision, Python Programming, Cloud Computing, Human Learning, IBM Cloud, Natural Language Processing, Algorithms, Applied Machine Learning, Machine Learning Software, Computer Programming, Application Development, Cloud API, Cloud Applications, Computer Programming Tools, Human Computer Interaction, Software Engineering Tools, Visualization (Computer Graphics), Software Engineering, Critical Thinking, Communication, Software As A Service, Data Analysis, Programming Principles, User Experience Design, Software Architecture, Agile Software Development, Systems Design, Web Development, Software Testing, Javascript, Data Science",4.6,6945,Free,18475,Beginner,Professional Certificate,3 - 6 Months,,"Understand the definition of AI, its applications and use cases, and explain terms like machine learning, deep learning, and neural networks ,Understand the definition of AI, its applications and use cases, and explain terms like machine learning, deep learning, and neural networks ,,,Create AI chatbots and virtual assistants without any programming and deploy them on a website ,Create AI chatbots and virtual assistants without any programming and deploy them on a website ,,,Build AI-powered solutions using IBM Watson AI services, APIs, and Python with minimal coding ,Build AI-powered solutions using IBM Watson AI services, APIs, and Python with minimal coding ,,,Apply computer vision techniques using Python, OpenCV, & Watson and develop custom image classification models and deploy them to the Cloud ,Apply computer vision techniques using Python, OpenCV, & Watson and develop custom image classification models and deploy them to the Cloud ,,,"
