title,n_enrolled_normalised,ratings_normalised,"ratio(n_rating,n_enrolled)",id
Google Data Analytics,0.675066576157903,0.0521739130434783,0.0645246438019213,0
Google Cybersecurity,0.1570397759908098,0.0521739130434783,0.0448155113831191,1
Google Project Management:,0.4865953475014359,0.0521739130434783,0.0656147594308809,2
IBM Data Science,0.0952548169808365,-0.0347826086956522,0.2382587126039825,3
Google Digital Marketing & E-commerce,0.1949199780690303,0.0521739130434783,0.0370571905984938,4
IBM Data Analyst,0.069478095138635,-0.0347826086956522,0.0816564267328034,5
Google UX Design,0.3159162706908255,0.0521739130434783,0.0754624397480212,6
Google IT Support,0.478968461176962,0.0521739130434783,0.1173472168848406,7
Machine Learning,0.1283611169129549,0.0956521739130437,0.0547494527342945,8
IBM Applied AI,0.0060293848885175,-0.0347826086956522,0.375913396481732,9
IBM DevOps and Software Engineering,0.0050160566027883,-0.0347826086956522,0.1986987638256343,10
Introduction to Data Science,0.0282942144013367,-0.0347826086956522,0.1434519827447,11
IBM Full Stack Software Developer,0.0269630175969923,-0.0347826086956522,0.067163727471889,12
Key Technologies for Business,0.0058642499086209,0.0086956521739132,0.0769102342923924,13
Data Science Fundamentals with Python and SQL,0.013867748420448,-0.0347826086956522,0.062316146188784,14
IBM Data Engineering,0.0070221528901885,-0.0347826086956522,0.1907793837430868,15
IBM & Darden Digital Strategy,0.0015988068508171,0.0086956521739132,0.0694019187589304,16
Data Engineering Foundations,0.0041743903712599,-0.0347826086956522,0.0873270268157298,17
Applied Data Science,0.0052647381337789,-0.0347826086956522,0.4608232085296305,18
IBM AI Foundations for Business,0.0048616912954937,0.0086956521739132,0.0857219574410955,19
IBM Back-End Development,0.0019555114615424,-0.0347826086956522,0.0839452603471295,20
IBM Data Analytics with Excel and R,0.0080863923554905,0.0086956521739132,0.0799499556057793,21
Data Analysis and Visualization Foundations,0.0059719466346404,0.0086956521739132,0.1353079403246079,22
Deep Learning,0.275091379040259,0.0521739130434783,0.1577769763347585,23
Applied Software Engineering Fundamentals,0.0022417236697822,-0.0347826086956522,0.0502256514776532,24
AI Foundations for Everyone,0.0012541773275546,0.0086956521739132,0.5,25
IBM AI Product Manager,0.0,0.0086956521739132,0.0,26
Prompt Engineering,0.009357213722521,0.0521739130434783,0.0316336495535714,27
Cloud Application Development Foundations,0.0,-0.0347826086956522,0.0,28
Google Advanced Data Analytics,0.0294041433867683,0.0086956521739132,0.0279026404288615,29
IBM Business Intelligence (BI) Analyst,0.0024173019685656,0.0086956521739132,0.0189010395571756,30
Generative AI with Large Language Models,0.0,0.0521739130434783,0.0,31
Microsoft Power BI Data Analyst,0.0343523184167928,-0.0347826086956522,0.0219074491027066,32
"DevOps, Cloud, and Agile Foundations",0.0044325361599916,0.0086956521739132,0.0686938595199528,33
IBM and ISC2 Cybersecurity Specialist,0.0019617121821314,0.0086956521739132,0.029446015637997,34
Foundations of Project Management,0.5753335334969454,0.0956521739130437,0.0446720600097338,35
IBM IT Support,0.0020566811132577,0.0086956521739132,0.2227864170104728,36
Meta Front-End Developer,0.0871038065897342,0.0086956521739132,0.05698388909704,37
Generative AI Fundamentals,0.0034270403634274,0.0086956521739132,0.0228549661936958,38
IBM Data Warehouse Engineer,0.0019489843872382,0.0086956521739132,0.0932685867381111,39
Google IT Automation with Python,0.221705459244948,0.0086956521739132,0.053634330917757,40
Information Technology (IT) and Cloud Fundamentals,0.0008517831966999,0.0086956521739132,0.1582375478927203,41
Generative AI for Data Analysts,0.0,0.0086956521739132,0.0,42
Generative AI for Software Developers,0.0006948070596835,0.0086956521739132,0.027242837012682,43
IBM Generative AI for Cybersecurity Professionals,0.0,0.0086956521739132,0.0,44
Generative AI for Data Engineers,0.0,0.0086956521739132,0.0,45
